Match,n,i
False,2477,100
True,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2477,100
True,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2477,100
True,2477,100
True,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
True,2477,100
False,2477,100
True,2477,100
True,2477,100
False,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
True,2477,100
False,2477,100
True,2477,100
True,2477,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
False,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
False,2476,100
True,2476,100
False,2476,100
True,2476,100
False,2476,100
True,2476,100
True,2476,100
False,2476,100
