match,n,i,target
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,2477,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
False,1238,100,0
