match,n,i
True,1000,10
True,1000,10
True,1000,10
True,1000,10
True,1000,10
True,1000,10
True,1000,10
False,1000,10
True,1000,10
True,1000,10
False,999,10
True,999,10
True,999,10
True,999,10
True,999,10
True,999,10
False,999,10
True,999,10
True,999,10
True,999,10
True,998,10
True,998,10
True,998,10
True,998,10
True,998,10
True,998,10
True,998,10
True,998,10
True,998,10
True,998,10
True,997,10
True,997,10
True,997,10
True,997,10
True,997,10
True,997,10
True,997,10
True,997,10
True,997,10
True,997,10
True,996,10
True,996,10
True,996,10
True,996,10
True,996,10
False,996,10
False,996,10
False,996,10
True,996,10
True,996,10
True,995,10
True,995,10
True,995,10
False,995,10
True,995,10
True,995,10
True,995,10
True,995,10
True,995,10
True,995,10
True,994,10
True,994,10
True,994,10
True,994,10
True,994,10
True,994,10
True,994,10
False,994,10
False,994,10
True,994,10
True,993,10
True,993,10
True,993,10
True,993,10
True,993,10
True,993,10
True,993,10
False,993,10
True,993,10
True,993,10
True,992,10
True,992,10
True,992,10
True,992,10
True,992,10
True,992,10
True,992,10
False,992,10
True,992,10
True,992,10
True,991,10
True,991,10
False,991,10
True,991,10
True,991,10
False,991,10
True,991,10
True,991,10
False,991,10
True,991,10
False,990,10
True,990,10
True,990,10
True,990,10
True,990,10
True,990,10
True,990,10
True,990,10
False,990,10
True,990,10
True,989,10
True,989,10
True,989,10
True,989,10
True,989,10
False,989,10
True,989,10
True,989,10
True,989,10
True,989,10
True,988,10
True,988,10
True,988,10
True,988,10
True,988,10
True,988,10
True,988,10
True,988,10
True,988,10
True,988,10
True,987,10
True,987,10
True,987,10
True,987,10
True,987,10
True,987,10
True,987,10
True,987,10
True,987,10
True,987,10
True,986,10
True,986,10
True,986,10
False,986,10
False,986,10
True,986,10
True,986,10
False,986,10
True,986,10
True,986,10
True,985,10
True,985,10
True,985,10
True,985,10
False,985,10
True,985,10
True,985,10
True,985,10
True,985,10
False,985,10
True,984,10
True,984,10
True,984,10
True,984,10
True,984,10
True,984,10
True,984,10
True,984,10
True,984,10
True,984,10
True,983,10
True,983,10
True,983,10
True,983,10
False,983,10
True,983,10
True,983,10
True,983,10
False,983,10
True,983,10
True,982,10
False,982,10
True,982,10
True,982,10
True,982,10
True,982,10
True,982,10
True,982,10
True,982,10
True,982,10
True,981,10
True,981,10
True,981,10
True,981,10
False,981,10
True,981,10
True,981,10
True,981,10
True,981,10
True,981,10
True,980,10
True,980,10
True,980,10
True,980,10
True,980,10
True,980,10
True,980,10
True,980,10
True,980,10
True,980,10
True,979,10
True,979,10
True,979,10
False,979,10
True,979,10
True,979,10
True,979,10
False,979,10
False,979,10
True,979,10
True,978,10
True,978,10
True,978,10
True,978,10
True,978,10
True,978,10
True,978,10
True,978,10
True,978,10
True,978,10
True,977,10
True,977,10
True,977,10
True,977,10
True,977,10
False,977,10
True,977,10
True,977,10
True,977,10
True,977,10
True,976,10
False,976,10
True,976,10
True,976,10
True,976,10
False,976,10
True,976,10
True,976,10
True,976,10
True,976,10
True,975,10
True,975,10
True,975,10
True,975,10
True,975,10
False,975,10
True,975,10
True,975,10
True,975,10
True,975,10
True,974,10
True,974,10
False,974,10
True,974,10
True,974,10
False,974,10
True,974,10
True,974,10
True,974,10
True,974,10
True,973,10
True,973,10
True,973,10
True,973,10
True,973,10
True,973,10
True,973,10
True,973,10
True,973,10
True,973,10
True,972,10
True,972,10
True,972,10
True,972,10
True,972,10
True,972,10
True,972,10
True,972,10
False,972,10
True,972,10
True,971,10
True,971,10
True,971,10
True,971,10
True,971,10
True,971,10
True,971,10
True,971,10
True,971,10
True,971,10
True,970,10
True,970,10
True,970,10
True,970,10
True,970,10
True,970,10
True,970,10
True,970,10
True,970,10
True,970,10
True,969,10
True,969,10
True,969,10
True,969,10
True,969,10
True,969,10
True,969,10
True,969,10
True,969,10
True,969,10
False,968,10
True,968,10
False,968,10
True,968,10
True,968,10
True,968,10
True,968,10
True,968,10
True,968,10
True,968,10
True,967,10
False,967,10
True,967,10
True,967,10
True,967,10
True,967,10
True,967,10
True,967,10
True,967,10
True,967,10
True,966,10
True,966,10
True,966,10
True,966,10
True,966,10
True,966,10
True,966,10
True,966,10
True,966,10
True,966,10
True,965,10
True,965,10
True,965,10
True,965,10
True,965,10
True,965,10
True,965,10
True,965,10
True,965,10
False,965,10
True,964,10
True,964,10
True,964,10
True,964,10
True,964,10
True,964,10
True,964,10
True,964,10
True,964,10
True,964,10
True,963,10
True,963,10
True,963,10
False,963,10
True,963,10
True,963,10
True,963,10
True,963,10
True,963,10
True,963,10
True,962,10
True,962,10
True,962,10
True,962,10
True,962,10
True,962,10
True,962,10
True,962,10
True,962,10
True,962,10
True,961,10
True,961,10
True,961,10
True,961,10
True,961,10
True,961,10
True,961,10
True,961,10
True,961,10
True,961,10
True,960,10
True,960,10
True,960,10
True,960,10
True,960,10
True,960,10
True,960,10
True,960,10
True,960,10
True,960,10
True,959,10
True,959,10
True,959,10
True,959,10
False,959,10
True,959,10
True,959,10
True,959,10
True,959,10
True,959,10
True,958,10
True,958,10
True,958,10
True,958,10
False,958,10
True,958,10
True,958,10
True,958,10
True,958,10
True,958,10
True,957,10
True,957,10
True,957,10
True,957,10
True,957,10
True,957,10
True,957,10
True,957,10
True,957,10
False,957,10
True,956,10
True,956,10
False,956,10
False,956,10
True,956,10
True,956,10
True,956,10
True,956,10
True,956,10
True,956,10
True,955,10
True,955,10
True,955,10
True,955,10
True,955,10
True,955,10
True,955,10
True,955,10
True,955,10
True,955,10
True,954,10
True,954,10
True,954,10
True,954,10
True,954,10
True,954,10
True,954,10
True,954,10
True,954,10
True,954,10
True,953,10
True,953,10
True,953,10
True,953,10
True,953,10
True,953,10
True,953,10
True,953,10
True,953,10
True,953,10
True,952,10
True,952,10
True,952,10
True,952,10
True,952,10
True,952,10
True,952,10
True,952,10
True,952,10
True,952,10
True,951,10
True,951,10
True,951,10
True,951,10
True,951,10
True,951,10
True,951,10
True,951,10
True,951,10
True,951,10
True,950,10
True,950,10
True,950,10
True,950,10
False,950,10
True,950,10
True,950,10
True,950,10
True,950,10
True,950,10
True,949,10
True,949,10
True,949,10
True,949,10
True,949,10
True,949,10
True,949,10
True,949,10
True,949,10
True,949,10
True,948,10
True,948,10
True,948,10
True,948,10
True,948,10
True,948,10
True,948,10
True,948,10
True,948,10
True,948,10
True,947,10
True,947,10
True,947,10
True,947,10
True,947,10
True,947,10
True,947,10
True,947,10
True,947,10
True,947,10
True,946,10
False,946,10
True,946,10
True,946,10
True,946,10
True,946,10
True,946,10
True,946,10
True,946,10
True,946,10
True,945,10
True,945,10
True,945,10
True,945,10
True,945,10
True,945,10
False,945,10
True,945,10
True,945,10
True,945,10
False,944,10
False,944,10
True,944,10
True,944,10
True,944,10
True,944,10
True,944,10
True,944,10
True,944,10
True,944,10
True,943,10
True,943,10
True,943,10
True,943,10
True,943,10
False,943,10
True,943,10
True,943,10
True,943,10
True,943,10
True,942,10
True,942,10
True,942,10
True,942,10
True,942,10
True,942,10
True,942,10
True,942,10
True,942,10
True,942,10
True,941,10
True,941,10
True,941,10
True,941,10
True,941,10
True,941,10
True,941,10
True,941,10
True,941,10
True,941,10
True,940,10
False,940,10
True,940,10
True,940,10
True,940,10
True,940,10
True,940,10
True,940,10
True,940,10
True,940,10
True,939,10
True,939,10
True,939,10
True,939,10
True,939,10
True,939,10
True,939,10
True,939,10
True,939,10
True,939,10
True,938,10
True,938,10
True,938,10
True,938,10
True,938,10
True,938,10
True,938,10
True,938,10
True,938,10
True,938,10
True,937,10
True,937,10
True,937,10
True,937,10
True,937,10
False,937,10
True,937,10
True,937,10
True,937,10
True,937,10
True,936,10
True,936,10
True,936,10
False,936,10
True,936,10
True,936,10
True,936,10
True,936,10
True,936,10
True,936,10
True,935,10
True,935,10
True,935,10
True,935,10
True,935,10
True,935,10
True,935,10
True,935,10
True,935,10
False,935,10
True,934,10
True,934,10
True,934,10
True,934,10
False,934,10
True,934,10
True,934,10
True,934,10
True,934,10
True,934,10
True,933,10
True,933,10
True,933,10
True,933,10
True,933,10
True,933,10
True,933,10
True,933,10
True,933,10
True,933,10
True,932,10
True,932,10
False,932,10
True,932,10
True,932,10
True,932,10
False,932,10
True,932,10
True,932,10
True,932,10
True,931,10
True,931,10
True,931,10
True,931,10
True,931,10
True,931,10
True,931,10
True,931,10
True,931,10
True,931,10
True,930,10
True,930,10
True,930,10
True,930,10
True,930,10
True,930,10
True,930,10
True,930,10
True,930,10
True,930,10
True,929,10
True,929,10
True,929,10
True,929,10
True,929,10
True,929,10
True,929,10
True,929,10
True,929,10
True,929,10
True,928,10
True,928,10
True,928,10
True,928,10
True,928,10
True,928,10
True,928,10
True,928,10
True,928,10
True,928,10
True,927,10
True,927,10
True,927,10
True,927,10
True,927,10
True,927,10
True,927,10
True,927,10
True,927,10
True,927,10
True,926,10
True,926,10
True,926,10
True,926,10
True,926,10
True,926,10
True,926,10
True,926,10
True,926,10
True,926,10
True,925,10
True,925,10
True,925,10
True,925,10
True,925,10
False,925,10
False,925,10
True,925,10
True,925,10
True,925,10
True,924,10
True,924,10
True,924,10
True,924,10
True,924,10
True,924,10
True,924,10
True,924,10
True,924,10
True,924,10
True,923,10
True,923,10
True,923,10
True,923,10
True,923,10
True,923,10
True,923,10
True,923,10
True,923,10
True,923,10
True,922,10
True,922,10
True,922,10
True,922,10
True,922,10
True,922,10
True,922,10
True,922,10
True,922,10
False,922,10
True,921,10
True,921,10
True,921,10
True,921,10
True,921,10
True,921,10
True,921,10
True,921,10
True,921,10
True,921,10
True,920,10
True,920,10
True,920,10
True,920,10
True,920,10
True,920,10
True,920,10
True,920,10
True,920,10
True,920,10
True,919,10
True,919,10
True,919,10
True,919,10
True,919,10
True,919,10
True,919,10
True,919,10
True,919,10
True,919,10
True,918,10
True,918,10
True,918,10
True,918,10
True,918,10
False,918,10
False,918,10
True,918,10
True,918,10
True,918,10
True,917,10
True,917,10
False,917,10
True,917,10
True,917,10
True,917,10
True,917,10
True,917,10
True,917,10
True,917,10
True,916,10
False,916,10
True,916,10
True,916,10
True,916,10
True,916,10
True,916,10
True,916,10
True,916,10
True,916,10
True,915,10
True,915,10
True,915,10
True,915,10
True,915,10
True,915,10
True,915,10
True,915,10
True,915,10
False,915,10
True,914,10
True,914,10
True,914,10
False,914,10
True,914,10
True,914,10
True,914,10
True,914,10
True,914,10
True,914,10
True,913,10
True,913,10
True,913,10
False,913,10
True,913,10
True,913,10
True,913,10
True,913,10
True,913,10
True,913,10
True,912,10
True,912,10
True,912,10
True,912,10
True,912,10
True,912,10
True,912,10
True,912,10
True,912,10
True,912,10
True,911,10
True,911,10
True,911,10
True,911,10
True,911,10
True,911,10
True,911,10
True,911,10
False,911,10
True,911,10
True,910,10
True,910,10
True,910,10
True,910,10
True,910,10
True,910,10
True,910,10
True,910,10
False,910,10
True,910,10
True,909,10
True,909,10
True,909,10
True,909,10
True,909,10
True,909,10
True,909,10
True,909,10
True,909,10
True,909,10
True,908,10
True,908,10
True,908,10
True,908,10
True,908,10
True,908,10
True,908,10
True,908,10
True,908,10
True,908,10
True,907,10
True,907,10
True,907,10
True,907,10
True,907,10
True,907,10
True,907,10
True,907,10
True,907,10
True,907,10
True,906,10
True,906,10
True,906,10
True,906,10
True,906,10
True,906,10
True,906,10
True,906,10
True,906,10
True,906,10
True,905,10
True,905,10
True,905,10
True,905,10
True,905,10
True,905,10
True,905,10
True,905,10
True,905,10
True,905,10
True,904,10
True,904,10
True,904,10
True,904,10
True,904,10
True,904,10
True,904,10
True,904,10
True,904,10
True,904,10
True,903,10
True,903,10
True,903,10
True,903,10
True,903,10
True,903,10
True,903,10
True,903,10
True,903,10
True,903,10
False,902,10
True,902,10
False,902,10
True,902,10
True,902,10
False,902,10
True,902,10
True,902,10
True,902,10
True,902,10
True,901,10
False,901,10
True,901,10
True,901,10
True,901,10
True,901,10
True,901,10
True,901,10
True,901,10
True,901,10
False,900,10
True,900,10
True,900,10
True,900,10
True,900,10
True,900,10
True,900,10
True,900,10
True,900,10
True,900,10
True,899,10
True,899,10
True,899,10
True,899,10
True,899,10
True,899,10
True,899,10
False,899,10
True,899,10
True,899,10
True,898,10
True,898,10
True,898,10
True,898,10
True,898,10
True,898,10
True,898,10
True,898,10
True,898,10
True,898,10
True,897,10
True,897,10
True,897,10
True,897,10
True,897,10
True,897,10
True,897,10
True,897,10
True,897,10
True,897,10
True,896,10
True,896,10
True,896,10
True,896,10
True,896,10
True,896,10
True,896,10
True,896,10
True,896,10
True,896,10
True,895,10
True,895,10
True,895,10
True,895,10
True,895,10
True,895,10
True,895,10
True,895,10
False,895,10
True,895,10
True,894,10
True,894,10
True,894,10
True,894,10
True,894,10
True,894,10
True,894,10
True,894,10
True,894,10
True,894,10
True,893,10
True,893,10
False,893,10
True,893,10
True,893,10
True,893,10
True,893,10
False,893,10
False,893,10
True,893,10
True,892,10
True,892,10
True,892,10
True,892,10
True,892,10
False,892,10
True,892,10
True,892,10
True,892,10
True,892,10
True,891,10
True,891,10
True,891,10
True,891,10
True,891,10
True,891,10
True,891,10
True,891,10
True,891,10
True,891,10
True,890,10
True,890,10
True,890,10
True,890,10
True,890,10
True,890,10
True,890,10
False,890,10
True,890,10
True,890,10
True,889,10
True,889,10
True,889,10
True,889,10
True,889,10
True,889,10
True,889,10
True,889,10
True,889,10
True,889,10
False,888,10
True,888,10
True,888,10
True,888,10
True,888,10
True,888,10
True,888,10
True,888,10
True,888,10
True,888,10
True,887,10
True,887,10
True,887,10
True,887,10
True,887,10
True,887,10
True,887,10
True,887,10
True,887,10
True,887,10
True,886,10
True,886,10
True,886,10
False,886,10
True,886,10
False,886,10
True,886,10
True,886,10
True,886,10
True,886,10
True,885,10
True,885,10
True,885,10
True,885,10
True,885,10
True,885,10
True,885,10
True,885,10
True,885,10
True,885,10
True,884,10
True,884,10
True,884,10
True,884,10
True,884,10
True,884,10
True,884,10
True,884,10
True,884,10
True,884,10
True,883,10
True,883,10
True,883,10
True,883,10
True,883,10
True,883,10
True,883,10
True,883,10
True,883,10
True,883,10
True,882,10
True,882,10
True,882,10
True,882,10
