match,n,i
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
True,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
False,2477,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
False,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,1238,100
True,1238,100
False,1238,100
True,1238,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,619,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
False,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
False,928,100
False,928,100
True,928,100
True,928,100
False,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
False,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
False,928,100
True,928,100
True,928,100
True,928,100
True,928,100
True,928,100
False,928,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,464,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
False,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,696,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,348,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,522,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,609,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,652,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,674,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
False,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,685,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,342,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,514,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,600,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,642,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,664,100
True,674,100
True,674,100
True,674,100
