match,n,i
False,2477,10
True,2477,10
False,2477,10
False,2477,10
True,2477,10
False,2477,10
False,2477,10
False,2477,10
False,2477,10
False,2477,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2476,10
False,2475,10
False,2475,10
False,2475,10
False,2475,10
False,2475,10
False,2475,10
True,2475,10
False,2475,10
False,2475,10
False,2475,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2474,10
False,2473,10
False,2473,10
False,2473,10
False,2473,10
False,2473,10
False,2473,10
False,2473,10
False,2473,10
False,2473,10
True,2473,10
False,2472,10
False,2472,10
False,2472,10
False,2472,10
False,2472,10
False,2472,10
False,2472,10
True,2472,10
False,2472,10
False,2472,10
False,2471,10
False,2471,10
False,2471,10
False,2471,10
True,2471,10
True,2471,10
False,2471,10
False,2471,10
False,2471,10
False,2471,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2470,10
False,2469,10
False,2469,10
True,2469,10
False,2469,10
False,2469,10
False,2469,10
False,2469,10
False,2469,10
False,2469,10
False,2469,10
False,2468,10
False,2468,10
False,2468,10
False,2468,10
False,2468,10
False,2468,10
False,2468,10
True,2468,10
False,2468,10
False,2468,10
False,2467,10
False,2467,10
False,2467,10
False,2467,10
True,2467,10
False,2467,10
False,2467,10
False,2467,10
True,2467,10
False,2467,10
False,2466,10
True,2466,10
False,2466,10
False,2466,10
False,2466,10
False,2466,10
False,2466,10
False,2466,10
False,2466,10
False,2466,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2465,10
False,2464,10
False,2464,10
False,2464,10
False,2464,10
True,2464,10
False,2464,10
False,2464,10
False,2464,10
False,2464,10
False,2464,10
False,2463,10
False,2463,10
False,2463,10
False,2463,10
False,2463,10
True,2463,10
False,2463,10
False,2463,10
False,2463,10
True,2463,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2462,10
False,2461,10
False,2461,10
True,2461,10
False,2461,10
False,2461,10
False,2461,10
True,2461,10
True,2461,10
True,2461,10
False,2461,10
False,2460,10
False,2460,10
False,2460,10
False,2460,10
False,2460,10
False,2460,10
False,2460,10
False,2460,10
True,2460,10
False,2460,10
False,2459,10
False,2459,10
False,2459,10
False,2459,10
False,2459,10
False,2459,10
False,2459,10
False,2459,10
False,2459,10
True,2459,10
True,2458,10
False,2458,10
True,2458,10
False,2458,10
False,2458,10
True,2458,10
False,2458,10
False,2458,10
False,2458,10
False,2458,10
True,2457,10
False,2457,10
False,2457,10
False,2457,10
False,2457,10
False,2457,10
True,2457,10
False,2457,10
False,2457,10
False,2457,10
False,2456,10
True,2456,10
False,2456,10
True,2456,10
False,2456,10
False,2456,10
False,2456,10
False,2456,10
False,2456,10
False,2456,10
False,2455,10
False,2455,10
False,2455,10
False,2455,10
False,2455,10
False,2455,10
False,2455,10
False,2455,10
True,2455,10
False,2455,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2454,10
False,2453,10
False,2453,10
False,2453,10
False,2453,10
False,2453,10
False,2453,10
False,2453,10
False,2453,10
