match,n,i,target
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,1000,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,999,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,998,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,997,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,996,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,995,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,994,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,993,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,992,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,991,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,990,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,989,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,988,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,987,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,986,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,985,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,984,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,983,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,982,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,981,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,980,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,979,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,978,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,977,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,976,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,975,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,974,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,973,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,972,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,971,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,970,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,969,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,968,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,967,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,966,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,965,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,964,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,963,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,962,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,961,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,960,10,1
False,959,10,1
False,959,10,1
False,959,10,1
False,959,10,1
False,959,10,1
False,959,10,1
