match,n,i,target
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,1
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,2
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,3
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,4
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
True,2477,100,5
